0;id;notes;macro;version;arch;enabled;update;remove;name;url;manifest;deps;rank;class;packages;brief;description
143;47;removed;JOHANNES_SHOEPFER;12.2;i386;0;0;1;schoepfer.info-i386-12.2;http://slackware.schoepfer.info/12.2/;;1;99;32122;PACKAGES.TXT;Johannes Schopfer;Packages from Johannes Schopfer (schoepfer.info) for Slackware 12.2
144;48;;JOHANNES_SHOEPFER;13.1;i386;1;1;0;schoepfer.info-i386-13.1;http://slackware.schoepfer.info/13.1/;;1;99;32131;PACKAGES.TXT;Johannes Schopfer;Packages from Johannes Schopfer (schoepfer.info) for Slackware 13.1 32bit
145;49;;JOHANNES_SHOEPFER;13.1;x86_64;1;1;0;schoepfer.info-x86_64-13.1;http://slackware.schoepfer.info/13.1_64/;;1;99;64131;PACKAGES.TXT;Johannes Schopfer;Packages from Johannes Schopfer (schoepfer.info) for Slackware 13.1 64bit
146;83;todo;JOHANNES_SHOEPFER;13.1;noarch;1;1;0;schoepfer.info-noarch-13.1;http://slackware.schoepfer.info/13.1_noarch/;;1;99;mi131;PACKAGES.TXT;Johannes Schopfer;Packages from Johannes Schopfer (schoepfer.info) for Slackware 13.1 noarch
147;8;;JOHANNES_SHOEPFER;13.37;i386;1;1;0;schoepfer.info-i386-13.37;http://slackware.schoepfer.info/13.37/;slackware/MANIFEST.bz2;1;99;32131;PACKAGES.TXT;Johannes Schopfer;Packages from Johannes Schopfer (schoepfer.info) for Slackware 13.37 32bit
148;16;;JOHANNES_SHOEPFER;13.37;x86_64;1;1;0;schoepfer.info-x86_64-13.37;http://slackware.schoepfer.info/13.37_64/;slackware64/MANIFEST.bz2;1;99;64137;PACKAGES.TXT;Johannes Schopfer;Packages from Johannes Schopfer (schoepfer.info) for Slackware 13.37 64bit
149;17;todo;JOHANNES_SHOEPFER;13.37;noarch;1;1;0;schoepfer.info-noarch-13.37;http://slackware.schoepfer.info/13.37_noarch/;MANIFEST.bz2;1;99;mi131;PACKAGES.TXT;Johannes Schopfer;Packages from Johannes Schopfer (schoepfer.info) for Slackware 13.37 noarch
150;95;wait;JOHANNES_SHOEPFER;14.0;x86_64;0;1;0;schoepfer.info-x86_64-14.0;http://slackware.schoepfer.info/14.0_64/;slackware64/MANIFEST.bz2;1;99;64140;PACKAGES.TXT;Johannes Schopfer;Packages from Johannes Schopfer (schoepfer.info) for Slackware 14.0 64bit
151;96;wait;JOHANNES_SHOEPFER;14.0;noarch;0;1;0;schoepfer.info-noarch-14.0;http://slackware.schoepfer.info/14.0_noarch/;MANIFEST.bz2;1;99;mi140;PACKAGES.TXT;Johannes Schopfer;Packages from Johannes Schopfer (schoepfer.info) for Slackware 14.0 noarch
152;97;wait;JOHANNES_SHOEPFER;14.0;i386;0;1;0;schoepfer.info-i386-14.0;http://slackware.schoepfer.info/14.0/;slackware/MANIFEST.bz2;1;99;32140;PACKAGES.TXT;Johannes Schopfer;Packages from Johannes Schopfer (schoepfer.info) for Slackware 14.0 32bit
