0;'id';'notes';'macro';'version';'arch';'enabled';'update';'remove';'name';'url';'manifest';'deps';'rank';'class';'packages';'brief';'description'
54;12;'ok';'SLACKY';'12.2';'i386';1;1;0;'slacky-12.2';'http://repository.slacky.eu/slackware-12.2/';'MANIFEST.bz2';1;99;'32122';'PACKAGES.TXT.gz';'Slacky';'Slacky.eu Community s Repository for Slackware 12.2'
55;13;'ok';'SLACKY';'12.2';'i386';1;1;0;'gnome-slacky-12.2';'http://repository.slacky.eu/gnome-slacky-12.2/';'MANIFEST.bz2';1;99;'32122';'PACKAGES.TXT.gz';'Gnome Slacky';'Slacky.eu Community s Repository of a Gnome 2.28.0 for Slackware 12.2'
56;14;'ok';'SLACKY';'13.37';'i386';1;1;0;'Slacky-13.37';'http://repository.slacky.eu/slackware-13.37/';'MANIFEST.bz2';1;99;'32137';'PACKAGES.TXT.gz';'Slacky';'Slacky.eu Community s Repository for Slackware 13.37'
57;15;'ok';'SLACKY';'13.37';'x86_64';1;1;0;'Slacky64-13.37';'http://repository.slacky.eu/slackware64-13.37/';'MANIFEST.bz2';1;99;'64131';'PACKAGES.TXT.gz';'Slacky';'Slacky.eu Community s Repository for Slackware64 13.37'
71;19;'todo';'SALIX';'13.37';'i386';1;1;0;'Salix-13.37';'http://download.salixos.org/i486/13.37/';;1;99;'32137';'PACKAGES.TXT.gz';'Salix';'Salix 32bit Distribution perfectly compatible with Slackware 13.37'
72;20;'todo';'SALIX';'13.37';'x86_64';1;1;0;'Salix64-13.37';'http://download.salixos.org/x86_64/13.37/';;1;99;'64137';'PACKAGES.TXT.gz';'Salix64';'Salix 64bit Distribution perfectly compatible with Slackware64 13.37'
73;21;'ok';'SALIX';'13.0';'i386';1;1;0;'salix-13.0';'http://download.salixos.org/i486/13.0/';;1;99;'32130';'PACKAGES.TXT.gz';'Salix';'Salix 32bit Distribution perfectly compatible with Slackware 13.0'
74;22;'ok';'SALIX';'current';'i386';0;1;0;'salix-current';'http://download.salixos.org/i486/current/';;1;99;'32cur';'PACKAGES.TXT.gz';'Salix';'Salix 32bit Distribution perfectly compatible with Slackware Current'
75;23;'ok';'SALIX';'13.0';'x86_64';1;1;0;'salix64-13.0';'http://download.salixos.org/x86_64/13.0/';;1;99;'64130';'PACKAGES.TXT.gz';'Salix64';'Salix 64bit Distribution perfectly compatible with Slackware64 13.0'
76;24;'ok';'SALIX';'current';'x86_64';0;1;0;'salix64-current';'http://download.salixos.org/x86_64/current/';;1;99;'64cur';'PACKAGES.TXT.gz';'Salix64';'Salix 64bit Distribution perfectly compatible with Slackware64 Current'
77;29;'ok';'SALIX';'13.1';'i386';1;1;0;'salix-13.1';'http://download.salixos.org/i486/13.1/';;1;99;'32131';'PACKAGES.TXT.gz';'Salix';'Salix 32bit Distribution perfectly compatible with Slackware 13.1'
78;30;'ok';'SALIX';'13.1';'x86_64';1;1;0;'salix64-13.1';'http://download.salixos.org/x86_64/13.1/';;1;99;'64131';'PACKAGES.TXT.gz';'Salix64';'Salix 64bit Distribution perfectly compatible with Slackware64 13.1'
101;27;'ok';'GSB_GNOME';'13.0';'i386';1;1;0;'gsb-gnome2.26';'http://ftp.osuosl.org/pub/gsb/gsb-2.26_slackware-13.0/';'gsb/MANIFEST.bz2';1;99;'32130';'PACKAGES.TXT';'gsb-gnome-2.26';'GSB Gnome 2.26.0 32bit for Slackware 13.0'
102;38;'ok';'GSB_GNOME';'13.1';'i486';1;1;0;'gsb-gnome2.28-13.1';'http://ftp.osuosl.org/pub/gsb/gsb-2.28_slackware-13.1/';'gsb/MANIFEST.bz2';1;99;'32131';'PACKAGES.TXT';'gsb-gnome-2.28';'GSB Gnome 2.28.0 bit for Slackware 13.1'
103;39;'ok';'GSB_GNOME';'current';'i486';1;1;0;'gsb-gnome2.30-13.1';'http://ftp.osuosl.org/pub/gsb/gsb-2.30_slackware-13.1/';'gsb/MANIFEST.bz2';1;99;'32131';'PACKAGES.TXT';'gsb-gnome-2.30';'GSB Gnome 2.30.0 bit for Slackware Current'
104;28;'removed';'GSB_GNOME';'13.0';'i386';0;0;1;'gsb-gnome-current';'http://ftp.osuosl.org/pub/gsb/gsb-current/';'gsb/MANIFEST.bz2';1;99;'32130';'PACKAGES.TXT';'gsb-gnome-current';'GSB Gnome 2.28.0 32bit for Slackware Current'
105;25;'ok';'GSB_GNOME';'13.0';'x86_64';1;1;0;'gsb64-gnome2.26';'http://ftp.osuosl.org/pub/gsb/gsb64-2.26_slackware64-13.0/';'gsb64/MANIFEST.bz2';1;99;'64130';'PACKAGES.TXT';'gsb-gnome-2.26';'GSB Gnome 2.26.0 64bit for Slackware64 13.0'
106;59;'ok';'GSB_GNOME';'13.1';'x86_64';1;1;0;'gsb64-gnome2.28-13.1';'http://ftp.osuosl.org/pub/gsb/gsb64-2.28_slackware64-13.1/';'gsb64/MANIFEST.bz2';1;99;'64131';'PACKAGES.TXT';'gsb-gnome-2.28';'GSB Gnome 2.28.0 64bit for Slackware64 13.1'
107;60;'ok';'GSB_GNOME';'13.1';'x86_64';1;1;0;'gsb64-gnome2.30-13.1';'http://ftp.osuosl.org/pub/gsb/gsb64-2.30_slackware64-13.1/';'gsb64/MANIFEST.bz2';1;99;'64131';'PACKAGES.TXT';'gsb-gnome-2.30';'GSB Gnome 2.30.0 64bit for Slackware64 Current'
108;26;'removed';'GSB_GNOME';'current';'x86_64';0;0;1;'gsb64-gnome-current';'http://ftp.osuosl.org/pub/gsb/gsb64-current/';'gsb64/MANIFEST.bz2';1;99;'64cur';'PACKAGES.TXT';'gsb-gnome-current';'GSB Gnome 2.28.0 64bit for Slackware64 Current'
109;78;'removed';'GSB_GNOME';'current';'i386';0;0;1;'gsb-gnome3.0-current';'http://ftp.osuosl.org/pub/gsb/gsb-3.0_slackware-current/';'gsb/MANIFEST.bz2';1;99;'32cur';'PACKAGES.TXT';'gsb-gnome-3.0';'z'
110;79;'ok';'GSB_GNOME';'13.1';'i386';1;1;0;'gsb-gnome-current-13.1';'http://ftp.osuosl.org/pub/gsb/gsb-current_slackware-13.1/';'gsb/MANIFEST.bz2';1;99;32131;'PACKAGES.TXT';'gsb-gnome-current';'z'
111;80;'removed';'GSB_GNOME';'current';'x86_64';0;0;1;'gsb64-gnome3.0-current';'http://ftp.osuosl.org/pub/gsb/gsb64-3.0_slackware64-current/';'gsb64/MANIFEST.bz2';1;99;'64cur';'PACKAGES.TXT';'gsb-gnome-3.0';'z'
112;81;'ok';'GSB_GNOME';'13.1';'x86_64';1;1;0;'gsb64-gnome-current-13.1';'http://ftp.osuosl.org/pub/gsb/gsb64-current_slackware64-13.1/';'gsb64/MANIFEST.bz2';1;99;64131;'PACKAGES.TXT';'gsb-gnome-current';'z'
113;84;'removed';'GSB_GNOME';'12.0';'i386';0;0;1;'gsb-gnome2.20.3-12.0';'http://ftp.osuosl.org/pub/gsb/gsb-2.20.3/';'gsb/MANIFEST.bz2';1;99;'32120';'PACKAGES.TXT';'gsb-gnome-2.20.3';'z'
114;85;'removed';'GSB_GNOME';'12.1';'i386';0;0;1;'gsb-gnome2.22-12.1';'http://ftp.osuosl.org/pub/gsb/gsb-2.22/';'gsb/MANIFEST.bz2';1;99;'32121';'PACKAGES.TXT';'gsb-gnome-2.22';'z'
